model,corruption_type,train_fraction,test_fraction,class_name,precision,recall,fpr,fnr
resnet18,gaussian_noise,0.1,0.0,notumor,0.9153318077803204,1.0,0.030833333333333334,0.0
resnet18,gaussian_noise,0.1,0.0,pituitary,0.9828009828009828,1.0,0.005833333333333334,0.0
resnet18,gaussian_noise,0.1,0.1,glioma,0.993920972644377,0.8175,0.0016666666666666668,0.1825
resnet18,gaussian_noise,0.1,0.1,meningioma,0.9178403755868545,0.9775,0.029166666666666667,0.0225
resnet18,gaussian_noise,0.1,0.1,notumor,0.9174311926605505,1.0,0.03,0.0
resnet18,gaussian_noise,0.1,0.1,pituitary,0.9779951100244498,1.0,0.0075,0.0
resnet18,gaussian_noise,0.1,0.25,glioma,0.993920972644377,0.8175,0.0016666666666666668,0.1825
resnet18,gaussian_noise,0.1,0.25,meningioma,0.9076212471131639,0.9825,0.03333333333333333,0.0175
resnet18,gaussian_noise,0.1,0.25,notumor,0.9302325581395349,1.0,0.025,0.0
resnet18,gaussian_noise,0.1,0.25,pituitary,0.9803921568627451,1.0,0.006666666666666667,0.0
resnet18,gaussian_noise,0.1,0.5,glioma,0.9969418960244648,0.815,0.0008333333333333334,0.185
resnet18,gaussian_noise,0.1,0.5,meningioma,0.9057471264367816,0.985,0.034166666666666665,0.015
resnet18,gaussian_noise,0.1,0.5,notumor,0.9302325581395349,1.0,0.025,0.0
resnet18,gaussian_noise,0.1,0.5,pituitary,0.9754901960784313,0.995,0.008333333333333333,0.005
resnet18,gaussian_noise,0.1,0.75,glioma,0.9969418960244648,0.815,0.0008333333333333334,0.185
resnet18,gaussian_noise,0.1,0.75,meningioma,0.9016018306636155,0.985,0.035833333333333335,0.015
resnet18,gaussian_noise,0.1,0.75,notumor,0.9366197183098591,0.9975,0.0225,0.0025
resnet18,gaussian_noise,0.1,0.75,pituitary,0.973170731707317,0.9975,0.009166666666666667,0.0025
resnet18,gaussian_noise,0.1,1.0,glioma,1.0,0.815,0.0,0.185
resnet18,gaussian_noise,0.1,1.0,meningioma,0.8931818181818182,0.9825,0.03916666666666667,0.0175
resnet18,gaussian_noise,0.1,1.0,notumor,0.9411764705882353,1.0,0.020833333333333332,0.0
resnet18,gaussian_noise,0.1,1.0,pituitary,0.9731051344743277,0.995,0.009166666666666667,0.005
resnet18,gaussian_noise,0.25,0.0,glioma,0.9969325153374233,0.8125,0.0008333333333333334,0.1875
resnet18,gaussian_noise,0.25,0.0,meningioma,0.9053117782909931,0.98,0.034166666666666665,0.02
resnet18,gaussian_noise,0.25,0.0,notumor,0.9195402298850575,1.0,0.029166666666666667,0.0
resnet18,gaussian_noise,0.25,0.0,pituitary,0.9827586206896551,0.9975,0.005833333333333334,0.0025
resnet18,gaussian_noise,0.25,0.1,glioma,0.9969418960244648,0.815,0.0008333333333333334,0.185
resnet18,gaussian_noise,0.25,0.1,meningioma,0.9071925754060325,0.9775,0.03333333333333333,0.0225
resnet18,gaussian_noise,0.25,0.1,notumor,0.9195402298850575,1.0,0.029166666666666667,0.0
resnet18,gaussian_noise,0.25,0.1,pituitary,0.9828009828009828,1.0,0.005833333333333334,0.0
resnet18,gaussian_noise,0.25,0.25,glioma,0.9969418960244648,0.815,0.0008333333333333334,0.185
resnet18,gaussian_noise,0.25,0.25,meningioma,0.9011494252873563,0.98,0.035833333333333335,0.02
resnet18,gaussian_noise,0.25,0.25,notumor,0.9280742459396751,1.0,0.025833333333333333,0.0
resnet18,gaussian_noise,0.25,0.25,pituitary,0.9828009828009828,1.0,0.005833333333333334,0.0
resnet18,gaussian_noise,0.25,0.5,glioma,1.0,0.8175,0.0,0.1825
resnet18,gaussian_noise,0.25,0.5,meningioma,0.9055299539170507,0.9825,0.034166666666666665,0.0175
resnet18,gaussian_noise,0.25,0.5,notumor,0.9237875288683602,1.0,0.0275,0.0
resnet18,gaussian_noise,0.25,0.5,pituitary,0.9827586206896551,0.9975,0.005833333333333334,0.0025
resnet18,gaussian_noise,0.25,0.75,glioma,0.9939024390243902,0.815,0.0016666666666666668,0.185
resnet18,gaussian_noise,0.25,0.75,meningioma,0.8972602739726028,0.9825,0.0375,0.0175
resnet18,gaussian_noise,0.25,0.75,notumor,0.9280742459396751,1.0,0.025833333333333333,0.0
resnet18,gaussian_noise,0.25,0.75,pituitary,0.9900744416873449,0.9975,0.0033333333333333335,0.0025
resnet18,gaussian_noise,0.25,1.0,glioma,0.9908814589665653,0.815,0.0025,0.185
resnet18,gaussian_noise,0.25,1.0,meningioma,0.8979118329466357,0.9675,0.03666666666666667,0.0325
resnet18,gaussian_noise,0.25,1.0,notumor,0.9237875288683602,1.0,0.0275,0.0
resnet18,gaussian_noise,0.25,1.0,pituitary,0.9828009828009828,1.0,0.005833333333333334,0.0
resnet18,gibbs_ringing,0.0,0.0,glioma,0.9970059880239521,0.8325,0.0008333333333333334,0.1675
resnet18,gibbs_ringing,0.0,0.0,meningioma,0.8949771689497716,0.98,0.03833333333333333,0.02
resnet18,gibbs_ringing,0.0,0.0,notumor,0.9433962264150944,1.0,0.02,0.0
resnet18,gibbs_ringing,0.0,0.0,pituitary,0.9876237623762376,0.9975,0.004166666666666667,0.0025
resnet18,gibbs_ringing,0.0,0.1,glioma,0.9970059880239521,0.8325,0.0008333333333333334,0.1675
resnet18,gibbs_ringing,0.0,0.1,meningioma,0.8949771689497716,0.98,0.03833333333333333,0.02
resnet18,gibbs_ringing,0.0,0.1,notumor,0.9433962264150944,1.0,0.02,0.0
resnet18,gibbs_ringing,0.0,0.1,pituitary,0.9876237623762376,0.9975,0.004166666666666667,0.0025
resnet18,gibbs_ringing,0.0,0.25,glioma,0.9970059880239521,0.8325,0.0008333333333333334,0.1675
resnet18,gibbs_ringing,0.0,0.25,meningioma,0.897025171624714,0.98,0.0375,0.02
resnet18,gibbs_ringing,0.0,0.25,notumor,0.9411764705882353,1.0,0.020833333333333332,0.0
resnet18,gibbs_ringing,0.0,0.25,pituitary,0.9876237623762376,0.9975,0.004166666666666667,0.0025
resnet18,gibbs_ringing,0.0,0.5,glioma,0.9970059880239521,0.8325,0.0008333333333333334,0.1675
resnet18,gibbs_ringing,0.0,0.5,meningioma,0.8972602739726028,0.9825,0.0375,0.0175
resnet18,gibbs_ringing,0.0,0.5,notumor,0.9411764705882353,1.0,0.020833333333333332,0.0
resnet18,gibbs_ringing,0.0,0.5,pituitary,0.9900744416873449,0.9975,0.0033333333333333335,0.0025
resnet18,gibbs_ringing,0.0,0.75,glioma,0.996996996996997,0.83,0.0008333333333333334,0.17
resnet18,gibbs_ringing,0.0,0.75,meningioma,0.8972602739726028,0.9825,0.0375,0.0175
resnet18,gibbs_ringing,0.0,0.75,notumor,0.9389671361502347,1.0,0.021666666666666667,0.0
resnet18,gibbs_ringing,0.0,0.75,pituitary,0.9900744416873449,0.9975,0.0033333333333333335,0.0025
resnet18,gibbs_ringing,0.0,1.0,glioma,0.996996996996997,0.83,0.0008333333333333334,0.17
resnet18,gibbs_ringing,0.0,1.0,meningioma,0.8972602739726028,0.9825,0.0375,0.0175
resnet18,gibbs_ringing,0.0,1.0,notumor,0.9389671361502347,1.0,0.021666666666666667,0.0
resnet18,gibbs_ringing,0.0,1.0,pituitary,0.9900744416873449,0.9975,0.0033333333333333335,0.0025
resnet18,gibbs_ringing,0.1,0.0,glioma,0.9937888198757764,0.8,0.0016666666666666668,0.2
resnet18,gibbs_ringing,0.1,0.0,meningioma,0.8967889908256881,0.9775,0.0375,0.0225
